IIT,Female-only,Gen-EWS,OBC-NCL,Open,PwD,SC,ST
IIT Bhilai,74,70,91,141,48,47,140
IIT Bhubaneswar,73,26,79,178,15,63,114
IIT Bombay,243,21,118,285,20,136,77
IIT Delhi,152,42,60,153,36,102,124
IIT Dhanbad (ISM),237,43,63,231,13,34,77
IIT Dharwad,176,20,176,163,47,120,145
IIT Gandhinagar,147,86,162,218,24,35,75
IIT Goa,123,83,147,269,53,109,87
IIT Guwahati,220,61,95,274,59,150,147
IIT Hyderabad,109,38,96,144,18,106,59
IIT Indore,126,77,58,385,13,79,101
IIT Jammu,144,33,112,337,43,106,88
IIT Jodhpur,165,49,95,211,24,132,117
IIT Kanpur,115,76,192,265,11,111,118
IIT Kharagpur,246,65,93,201,26,51,68
IIT Madras,246,53,81,148,44,45,115
IIT Mandi,245,27,89,235,18,82,126
IIT Nagpur,237,94,112,323,69,139,65
IIT Palakkad,104,89,57,253,53,151,138
IIT Patna,151,77,80,297,42,123,33
IIT Roorkee,145,31,139,204,36,117,70
IIT Ropar,196,89,124,277,14,116,140
IIT Tirupati,105,28,89,198,51,128,46
