NIT Tiruchirappalli(Trichy),800
NIT Bhopal,650
NIT Rourkela,650
NIT Silchar,625
NIT Agartala,365
NIT Jamshedpur,342
NIT Jaipur,316
NIT Calicut,300
NIT Surat(SVNIT),300
NIT Karnataka(Surathkal),295
NIT Kurukshetra,292
NIT Raipur,255
NIT Warangal,248
NIT Allahabad,222
NIT Nagpur,215
NIT Puducherry,210
NIT Durgapur,187
NIT Andhra Pradesh,178
NIT Hamirpur,177
NIT Jalandhar,154
NIT Nagaland,150
NIT Uttarakhand,150
NIT Meghalaya,143
NIT Arunachal Pradesh,125
NIT Patna,125
NIT Manipur,120
NIT Mizoram,118
NIT Sikkim,110
NIT Srinagar,100
NIT Delhi,51
NIT Goa,50
