NIT,Female-only,Gen-EWS,OBC-NCL,Open,PwD,SC,ST
NIT Agartala,246,53,81,148,44,45,115
NIT Allahabad,152,42,60,153,36,102,124
NIT Andhra Pradesh,243,21,118,285,20,136,77
NIT Arunachal Pradesh,115,76,192,265,11,111,118
NIT Bhopal,246,65,93,201,26,51,68
NIT Calicut,145,31,139,204,36,117,70
NIT Delhi,220,61,95,274,59,150,147
NIT Durgapur,109,38,96,144,18,106,59
NIT Goa,176,20,176,163,47,120,145
NIT Hamirpur,237,43,63,231,13,34,77
NIT Jaipur,126,77,58,385,13,79,101
NIT Jalandhar,147,86,162,218,24,35,75
NIT Jamshedpur,196,89,124,277,14,116,140
NIT Karnataka(Surathkal),165,49,95,211,24,132,117
NIT Kurukshetra,245,27,89,235,18,82,126
NIT Manipur,151,77,80,297,42,123,33
NIT Meghalaya,73,26,79,178,15,63,114
NIT Mizoram,105,28,89,198,51,128,46
NIT Nagaland,144,33,112,337,43,106,88
NIT Nagpur,104,89,57,253,53,141,138
NIT Patna,74,70,91,141,48,47,140
NIT Puducherry,53,70,168,180,29,60,46
NIT Raipur,52,67,75,326,59,139,91
NIT Rourkela,176,61,179,124,53,114,37
NIT Sikkim,98,20,163,150,47,110,130
NIT Silchar,90,28,174,143,10,58,72
NIT Srinagar,217,65,143,315,38,86,40
NIT Surat(SVNIT),82,71,81,322,18,38,30
NIT Tiruchirappalli(Trichy),189,61,95,266,54,129,150
NIT Uttarakhand,176,48,168,288,33,131,67
NIT Warangal,83,49,52,274,17,41,103
